temp,hum,ph,nc,dosing_duration
25.2,59,4.82,366,2.5
21.4,78,6.04,303,4.5
22.8,71,6.88,127,15.0
25.7,47,5.86,688,0.5
31.5,89,6.4,286,6.5
26.9,69,6.16,501,2.5
25.2,58,5.09,374,3.5
17.2,86,6.49,283,5.5
23.5,76,6.96,356,3.0
25.7,68,5.87,441,4.0
31.4,83,6.24,427,3.0
27.4,64,7.83,43,19.0
26.5,30,6.91,424,4.5
25.3,66,7.11,79,14.5
24.0,78,6.39,311,5.5
31.7,34,6.85,462,3.0
33.4,51,6.21,442,5.0
21.7,78,5.95,133,11.5
22.8,68,6.49,358,4.0
22.1,73,6.04,269,5.0
31.3,58,6.31,468,2.0
23.6,80,6.33,377,3.0
21.6,76,5.91,201,7.0
25.4,55,6.07,540,2.5
22.2,68,6.35,269,5.0
20.5,84,6.81,272,5.5
21.5,68,6.02,375,3.5
25.8,73,7.71,117,16.5
23.8,65,6.29,416,5.0
27.0,59,7.44,218,10.5
20.6,83,6.99,296,4.5
23.1,55,7.58,25,20.5
21.0,86,5.88,212,9.5
26.6,66,6.32,295,5.0
16.6,81,6.57,243,6.5
25.3,61,5.97,424,4.0
26.4,68,6.38,540,1.0
25.1,74,7.14,306,7.5
22.6,72,5.94,474,2.5
26.7,66,6.21,452,1.5
29.9,51,6.09,564,1.5
23.3,70,6.27,300,7.0
21.7,74,6.3,285,7.0
18.7,74,6.45,265,5.5
22.1,76,6.35,381,3.0
30.4,48,6.48,406,3.5
20.2,66,7.04,195,9.5
24.5,69,6.15,341,7.0
23.4,71,6.13,301,4.5
29.7,40,6.9,304,7.5
19.9,64,7.25,183,9.0
26.8,51,5.57,542,2.5
28.1,31,7.22,357,6.5
28.6,60,6.33,498,3.0
24.5,71,6.64,285,5.0
17.3,89,6.66,182,9.5
20.4,81,6.24,124,10.5
23.2,80,5.97,209,8.0
24.0,75,6.36,365,3.5
26.6,61,5.01,329,3.5
24.2,65,7.04,415,6.0
23.3,59,7.34,335,7.5
24.0,67,5.93,359,3.0
24.2,49,7.18,354,5.0
22.9,79,6.41,221,9.5
19.0,85,6.49,208,9.5
22.7,74,6.07,195,8.0
21.0,58,7.19,203,8.0
25.8,65,7.19,124,13.5
23.7,71,5.86,398,3.0
22.6,67,6.48,341,6.0
25.1,65,7.36,349,8.5
18.4,79,6.33,270,5.5
26.9,80,7.06,100,13.5
29.5,45,6.25,374,3.5
28.7,44,6.54,370,5.0
25.5,63,5.81,432,2.0
16.7,89,6.55,212,6.5
29.1,44,7.17,182,8.5
22.9,55,7.33,80,12.5
25.7,60,5.94,330,6.0
22.7,76,6.85,99,13.5
21.1,65,7.07,158,10.5
27.1,57,6.17,352,4.5
25.3,60,6.0,374,4.0
26.9,60,5.17,266,6.5
18.3,85,6.69,287,6.0
24.4,56,7.71,298,7.0
17.4,78,6.68,274,5.0
23.7,50,8.17,86,14.5
24.2,65,6.85,317,6.5
17.5,79,6.41,316,4.5
23.5,65,6.48,414,4.5
28.6,51,5.92,596,1.0
24.6,71,5.93,419,2.5
21.0,61,7.14,204,9.5
21.4,68,6.57,224,8.5
18.8,88,6.36,153,7.5
25.8,71,5.94,265,6.5
29.3,90,6.07,382,2.5
21.7,72,6.14,249,8.5
24.0,58,6.19,482,1.0
18.5,73,6.58,312,4.5
25.2,67,6.0,422,3.0
30.4,52,6.48,323,5.5
30.7,45,6.7,471,2.0
28.7,64,6.0,353,3.5
23.5,76,6.16,283,6.5
22.7,56,7.91,259,8.5
31.9,33,6.81,471,3.0
23.5,79,7.27,193,9.0
24.3,57,5.93,370,3.5
19.9,82,6.5,293,7.5
21.7,75,6.09,233,8.0
26.3,60,4.89,427,3.5
24.0,68,5.95,427,3.0
19.2,78,6.57,276,5.0
22.1,75,6.63,238,7.0
27.8,53,5.68,660,0.5
23.3,66,7.57,58,16.0
17.9,81,6.33,264,6.5
20.9,64,6.38,289,5.5
28.8,93,6.07,301,6.5
17.2,82,6.61,245,9.5
27.3,62,7.25,52,16.5
24.7,71,6.3,345,6.5
20.3,54,7.12,126,12.5
22.8,62,4.9,296,4.5
23.0,76,6.11,248,7.0
28.0,50,5.61,599,1.0
22.3,61,7.52,315,7.0
17.0,79,6.72,213,9.0
25.0,64,6.9,184,7.5
20.1,74,6.1,246,6.5
29.2,37,6.6,392,4.0
21.7,71,5.93,239,9.5
22.4,75,6.52,364,4.0
21.7,72,6.8,204,7.5
25.9,65,6.23,333,7.0
18.3,74,6.73,293,6.0
25.0,73,7.67,130,17.0
24.8,63,6.33,496,1.0
21.2,82,6.65,276,6.5
20.8,77,6.93,270,6.0
30.7,52,6.65,471,2.5
24.5,64,5.91,298,6.0
26.9,68,6.19,403,3.5
25.6,63,6.57,296,4.5
26.1,45,5.93,589,1.5
24.9,64,6.01,433,4.0
19.9,70,6.91,312,6.0
29.5,93,6.19,385,3.0
22.0,75,5.92,207,7.0
23.9,58,5.91,347,5.5
29.8,49,6.82,336,7.0
19.5,81,6.63,281,7.0
23.0,75,7.36,157,10.5
21.6,70,6.01,236,9.5
22.8,66,5.9,280,7.0
21.2,66,5.89,227,7.5
18.4,78,6.96,241,7.5
25.4,78,7.16,383,5.5
32.1,83,6.53,403,4.0
24.8,51,4.87,394,2.5
25.1,51,7.05,53,11.5
24.4,67,7.2,153,9.0
25.2,72,5.86,344,4.5
22.3,58,6.97,167,9.0
24.3,66,7.47,394,6.0
24.3,68,6.1,354,4.5
27.1,66,5.98,507,1.0
29.0,41,6.51,329,5.5
21.1,71,7.67,47,19.0
20.2,76,6.63,214,7.0
22.7,74,6.86,402,4.0
17.9,82,6.82,327,5.0
21.3,78,6.11,230,8.5
24.2,66,7.69,82,15.5
18.3,93,6.56,212,6.5
21.2,69,6.15,244,9.5
28.8,68,6.29,508,0.5
24.0,73,6.1,466,2.0
21.6,78,7.35,143,17.5
26.4,39,7.28,516,4.0
27.1,29,7.06,456,3.5
23.0,76,6.99,300,7.0
22.0,59,6.16,369,4.5
22.9,64,7.84,260,10.0
23.6,76,7.06,126,17.0
24.4,71,7.78,230,10.5
25.7,43,7.01,457,2.5
24.5,61,6.04,428,2.0
22.9,68,7.08,82,15.0
22.7,65,7.61,101,14.5
25.4,70,4.94,415,3.0
23.1,61,5.89,454,1.5
20.2,73,6.08,214,8.5
26.0,64,6.33,380,4.0
22.3,55,7.72,381,7.0
26.7,59,6.24,477,0.5
